0	 0	 513
0	 182	 502
2	 374	 438
4	 138	 430
4	 176	 509
6	 266	 385
8	 280	 423
10	 315	 427
12	 85	 525
12	 89	 491
14	 20	 545
14	 147	 454
14	 345	 461
20	 95	 497
20	 255	 415
22	 239	 441
24	 140	 404
26	 211	 513
26	 252	 448
26	 355	 473
28	 184	 512
28	 346	 474
32	 10	 514
32	 82	 556
32	 131	 379
32	 240	 413
32	 331	 441
34	 210	 495
34	 291	 481
38	 204	 543
38	 252	 403
38	 330	 433
42	 217	 479
42	 281	 483
42	 396	 427
44	 192	 536
44	 239	 402
44	 362	 491
48	 392	 428
50	 148	 463
50	 174	 501
50	 205	 511
50	 385	 396
52	 108	 528
52	 354	 451
56	 4	 538
56	 92	 512
58	 256	 435
64	 89	 545
66	 160	 468
68	 160	 464
74	 19	 534
74	 237	 462
74	 258	 485
80	 188	 531
84	 7	 529
84	 228	 500
86	 15	 513
86	 167	 480
86	 290	 493
86	 383	 421
90	 22	 544
90	 198	 499
94	 78	 528
94	 163	 486
96	 119	 533
98	 229	 476
100	 93	 537
102	 125	 511
104	 363	 490
106	 112	 529
106	 236	 520
106	 322	 491
108	 113	 531
110	 329	 522
112	 42	 585
112	 386	 436
114	 176	 507
118	 86	 558
118	 150	 490
118	 398	 495
120	 23	 518
120	 101	 545
120	 362	 514
124	 322	 510
124	 399	 493
126	 191	 505
126	 366	 517
130	 262	 524
130	 390	 493
132	 126	 515
134	 190	 472
136	 206	 512
138	 70	 580
138	 108	 522
138	 303	 490
142	 29	 534
144	 171	 500
144	 335	 570
146	 83	 607
148	 179	 466
148	 305	 523
150	 172	 517
152	 145	 480
152	 153	 520
156	 362	 525
158	 6	 524
158	 180	 455
158	 284	 514
160	 176	 485
160	 219	 491
162	 91	 583
162	 143	 485
164	 302	 543
168	 145	 480
168	 276	 578
174	 117	 563
174	 274	 565
174	 287	 571
178	 251	 521
182	 26	 523
182	 365	 526
184	 102	 569
184	 121	 591
184	 342	 564
194	 29	 529
198	 262	 553
198	 390	 481
200	 182	 464
202	 12	 504
202	 178	 474
202	 384	 507
204	 275	 599
204	 377	 503
210	 216	 465
212	 129	 607
212	 257	 559
216	 180	 470
220	 111	 587
222	 141	 602
222	 271	 533
226	 186	 503
226	 363	 509
228	 42	 486
236	 12	 492
238	 108	 569
240	 95	 541
244	 125	 559
246	 22	 429
246	 399	 521
248	 169	 477
250	 262	 568
252	 397	 519
254	 272	 566
256	 19	 452
256	 150	 509
256	 265	 564
258	 174	 498
262	 77	 453
262	 239	 503
266	 285	 561
270	 121	 497
272	 120	 488
272	 195	 458
272	 337	 496
276	 41	 400
276	 80	 462
276	 91	 480
280	 46	 417
280	 83	 482
282	 101	 515
286	 311	 500
286	 348	 425
288	 296	 519
288	 299	 520
290	 50	 384
294	 125	 501
294	 233	 541
296	 17	 392
298	 109	 498
302	 111	 486
304	 35	 370
306	 318	 517
308	 88	 476
308	 216	 506
308	 233	 532
308	 257	 551
310	 192	 476
312	 132	 517
316	 133	 498
322	 47	 347
322	 182	 481
324	 197	 457
326	 372	 501
328	 301	 515
328	 378	 545
330	 83	 433
330	 191	 456
330	 249	 531
332	 32	 370
332	 63	 373
332	 267	 505
336	 114	 510
338	 237	 542
340	 213	 528
340	 225	 533
340	 230	 524
342	 48	 392
342	 291	 497
342	 311	 503
344	 393	 583
346	 222	 533
352	 122	 453
352	 349	 494
352	 391	 566
354	 14	 413
354	 176	 505
356	 146	 515
356	 173	 488
356	 337	 488
360	 186	 488
360	 277	 472
362	 195	 502
362	 197	 483
362	 263	 501
364	 132	 485
366	 156	 490
368	 106	 448
368	 182	 485
368	 368	 570
370	 151	 498
370	 265	 517
370	 300	 470
370	 309	 483
370	 386	 596
372	 48	 418
372	 328	 487
374	 33	 403
376	 110	 483
376	 163	 484
376	 318	 471
378	 384	 616
380	 138	 482
380	 287	 501
382	 52	 413
382	 243	 463
386	 181	 525
386	 322	 437
388	 45	 420
388	 334	 426
390	 386	 601
392	 87	 458
394	 287	 516
398	 69	 468
398	 288	 508
398	 329	 403
